ASF Name,Total_calls,Avg_time_taken,Rank
Dhanshree Sales And Services,97,7.969072164948454,244
Amrut Services,104,7.778846153846154,245
Raza Service Centre BAREILLY,121,4.892561983471074,246
Satisfied Services,140,459.7785714285714,247
FREEZE REFRIGERATION & HOME APPLIANCES,144,6.638888888888889,248
RUBA AGENCIES,156,3.2371794871794872,249
VGP ENTERPRISES,163,3.9263803680981595,250
Sri Meenakshi Electronics,174,5.333333333333333,251
RV Electronics,182,6.1098901098901095,252
Devansh Enterprises,201,6.1840796019900495,253
BEST COOL SERVICE,214,2.6542056074766354,254
Shivam Enterprise,232,4.737068965517241,255
MODERN TV SERVICE,278,4.33453237410072,256
Teknodome India Private Limited ( Kolkata ),2847,739.5577801194239,257
